r,l,t,f,y,ProductionByTechnology
RE1,S101,MINBIO,BIO,2020,41.33
RE1,S101,IMPCOA,COA,2020,1.3147
RE1,S101,IMPLFO,LFO,2020,32.8618
RE1,S101,MINHYD,HYD,2020,0.672
RE1,S101,PWRHYD001,ELC001,2020,0.672
RE1,S101,PWRTRNIMP,ELC001,2020,1.6852
RE1,S101,PWRTRN,ELC002,2020,2.2324
RE1,S101,PWRDIST,ELC003,2020,2.0713
RE1,S101,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S101,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S101,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S101,DEMINDELC,INDELC,2020,2.0713
RE1,S101,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S101,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S101,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S101,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S101,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S102,MINBIO,BIO,2020,41.33
RE1,S102,IMPCOA,COA,2020,1.3147
RE1,S102,IMPLFO,LFO,2020,32.8618
RE1,S102,MINHYD,HYD,2020,0.672
RE1,S102,PWRHYD001,ELC001,2020,0.672
RE1,S102,PWRTRNIMP,ELC001,2020,1.9523
RE1,S102,PWRTRN,ELC002,2020,2.5455
RE1,S102,PWRDIST,ELC003,2020,2.3618
RE1,S102,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S102,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S102,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S102,DEMINDELC,INDELC,2020,2.3618
RE1,S102,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S102,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S102,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S102,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S102,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S103,MINBIO,BIO,2020,41.33
RE1,S103,IMPCOA,COA,2020,1.3147
RE1,S103,IMPLFO,LFO,2020,32.8618
RE1,S103,MINHYD,HYD,2020,0.672
RE1,S103,PWRHYD001,ELC001,2020,0.6321
RE1,S103,PWRHYD002,ELC001,2020,0.0398
RE1,S103,PWRTRNIMP,ELC001,2020,1.2174
RE1,S103,PWRTRN,ELC002,2020,1.7787
RE1,S103,PWRDIST,ELC003,2020,1.6504
RE1,S103,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S103,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S103,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S103,DEMINDELC,INDELC,2020,1.6504
RE1,S103,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S103,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S103,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S103,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S103,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S104,MINBIO,BIO,2020,41.33
RE1,S104,IMPCOA,COA,2020,1.3147
RE1,S104,IMPLFO,LFO,2020,32.8618
RE1,S104,MINHYD,HYD,2020,0.672
RE1,S104,PWRHYD001,ELC001,2020,0.4296
RE1,S104,PWRHYD002,ELC001,2020,0.2423
RE1,S104,PWRTRNIMP,ELC001,2020,1.5265
RE1,S104,PWRTRN,ELC002,2020,2.0785
RE1,S104,PWRDIST,ELC003,2020,1.9285
RE1,S104,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S104,DEMTRACARGSL,TRACAR,2020,2.4759
